CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,335,1,0,330,0,0.018,35,r,330,0,0,0,0,0
CURclassMarker,1567,2,1,330,310,0.029,35,p,20,0,0,0,0,310
CURclassMarker,1567,3,2,330,310,0.04,35,p,20,0,0,0,31,279
CURclassMarker,1607,4,2,330,320,0.049,35,p,10,0,31,289,0,0
CURclassMarker,1607,5,2,330,320,0.058,35,p,10,0,31,289,0,0
CURclassMarker,1607,6,2,330,320,0.067,35,p,10,0,31,289,0,0
CURclassMarker,1607,7,2,330,320,0.077,35,p,10,0,31,289,0,0
CURclassMarker,1607,8,2,330,320,0.086,35,p,10,0,31,289,0,0
CURclassMarker,1607,9,2,330,320,0.095,35,p,10,0,31,289,0,0
CURclassMarker,1607,10,2,330,320,0.104,35,p,10,0,31,289,0,0
CURclassMarker,1607,11,2,330,320,0.114,35,p,10,0,31,289,0,0
CURclassMarker,1607,12,2,330,320,0.125,35,p,10,0,31,289,0,0
CURclassMarker,1607,13,2,330,320,0.134,35,p,10,0,31,289,0,0
CURclassMarker,1607,14,2,330,320,0.143,35,p,10,0,31,289,0,0
CURclassMarker,1607,15,2,330,320,0.152,35,p,10,0,31,289,0,0
CURclassMarker,1607,16,2,330,320,0.16,35,i,10,0,31,289,0,0
CURclassMarker,1607,17,3,330,320,0.172,35,i,10,0,274,46,0,0
CURclassMarker,1607,18,4,330,320,0.181,35,i,10,0,301,19,0,0
CURclassMarker,1607,19,5,330,320,0.19,35,i,10,0,301,19,0,0
CURclassMarker,1607,20,5,330,320,0.199,35,i,10,0,301,19,0,0
CURclassMarker,1607,21,5,330,320,0.208,35,i,10,0,301,19,0,0
CURclassMarker,1607,22,5,330,320,0.217,35,i,10,0,301,19,0,0
CURclassMarker,1607,23,6,330,320,0.226,35,i,10,0,301,19,0,0
CURclassMarker,1607,24,6,330,320,0.235,35,i,10,0,301,19,0,0
CURclassMarker,1607,25,6,330,320,0.245,35,i,10,0,301,19,0,0
CURclassMarker,1607,26,6,330,320,0.256,35,i,10,0,301,19,0,0
CURclassMarker,1607,27,7,330,320,0.266,35,i,10,0,301,19,0,0
CURclassMarker,1607,28,7,330,320,0.275,35,i,10,0,301,19,0,0
CURclassMarker,1607,29,7,330,320,0.284,35,i,10,0,301,19,0,0
CURclassMarker,1607,30,7,330,320,0.293,35,i,10,0,301,19,0,0
CURclassMarker,1607,31,8,330,320,0.302,35,i,10,0,301,19,0,0
CURclassMarker,1607,32,8,330,320,0.311,35,i,10,0,301,19,0,0
CURclassMarker,1607,33,8,330,320,0.32,35,i,10,0,301,19,0,0
CURclassMarker,1607,34,8,330,320,0.329,35,i,10,0,301,19,0,0
CURclassMarker,1607,35,9,330,320,0.338,35,i,10,0,301,19,0,0
CURclassMarker,1607,36,9,330,320,0.348,35,i,10,0,301,19,0,0
CURclassMarker,1607,37,9,330,320,0.357,35,i,10,0,301,19,0,0
CURclassMarker,1607,38,9,330,320,0.366,35,i,10,0,301,19,0,0
CURclassMarker,1607,39,10,330,320,0.375,35,i,10,0,301,19,0,0
CURclassMarker,1607,40,10,330,320,0.383,35,i,10,0,301,19,0,0
CURclassMarker,1607,41,10,330,320,0.393,35,i,10,0,301,19,0,0
CURclassMarker,1607,42,10,330,320,0.404,35,i,10,0,301,19,0,0
CURclassMarker,1607,43,11,330,320,0.431,35,i,10,0,301,19,0,0
CURclassMarker,1607,44,11,330,320,0.445,35,i,10,0,301,19,0,0
CURclassMarker,1607,45,11,330,320,0.456,35,i,10,0,301,19,0,0
CURclassMarker,1607,46,11,330,320,0.465,35,i,10,0,301,19,0,0
CURclassMarker,1607,47,12,330,320,0.474,35,i,10,0,301,19,0,0
CURclassMarker,1607,48,12,330,320,0.483,35,i,10,0,301,19,0,0
CURclassMarker,1607,49,12,330,320,0.492,35,i,10,0,301,19,0,0
CURclassMarker,1607,50,12,330,320,0.501,35,i,10,0,301,19,0,0
CURclassMarker,1607,51,13,330,320,0.51,35,i,10,0,301,19,0,0
CURclassMarker,1607,52,13,330,320,0.52,35,i,10,0,301,19,0,0
CURclassMarker,1607,53,13,330,320,0.528,35,i,10,0,301,19,0,0
